buffer_timestamp,data_throughput,pr4g_queue_occupancy,round
2021-06-07 03:15:39,240K,0.0,0
2021-06-07 03:15:40,240K,0.0,0
2021-06-07 03:15:41,240K,0.0,0
2021-06-07 03:15:42,240K,0.0,0
2021-06-07 03:15:43,240K,0.0,0
2021-06-07 03:15:44,240K,0.0,0
2021-06-07 03:15:45,240K,0.0,0
2021-06-07 03:15:46,240K,0.0,0
2021-06-07 03:15:47,240K,0.0,0
2021-06-07 03:15:48,240K,0.0,0
2021-06-07 03:15:49,240K,0.0,0
2021-06-07 03:15:51,240K,0.0,0
2021-06-07 03:15:52,240K,0.0,0
2021-06-07 03:15:53,240K,4.0,0
2021-06-07 03:15:54,240K,7.0,0
2021-06-07 03:15:55,240K,9.0,0
2021-06-07 03:15:56,240K,8.0,0
2021-06-07 03:15:57,240K,7.0,0
2021-06-07 03:15:58,240K,6.0,0
2021-06-07 03:15:59,240K,6.0,0
2021-06-07 03:16:00,240K,6.0,0
2021-06-07 03:16:01,240K,6.0,0
2021-06-07 03:16:02,240K,8.0,0
2021-06-07 03:16:03,240K,12.0,0
2021-06-07 03:16:04,240K,11.0,0
2021-06-07 03:16:05,240K,6.0,0
2021-06-07 03:16:06,120K,6.0,0
2021-06-07 03:16:07,120K,8.0,0
2021-06-07 03:16:08,120K,8.0,0
2021-06-07 03:16:09,120K,8.0,0
2021-06-07 03:16:10,120K,8.0,0
2021-06-07 03:16:11,120K,6.0,0
2021-06-07 03:16:12,120K,8.0,0
2021-06-07 03:16:13,120K,8.0,0
2021-06-07 03:16:14,120K,10.0,0
2021-06-07 03:16:15,120K,9.0,0
2021-06-07 03:16:16,120K,7.0,0
2021-06-07 03:16:17,120K,10.0,0
2021-06-07 03:16:18,120K,7.0,0
2021-06-07 03:16:19,120K,5.0,0
2021-06-07 03:16:20,120K,8.0,0
2021-06-07 03:16:21,120K,11.0,0
2021-06-07 03:16:22,120K,11.0,0
2021-06-07 03:16:23,120K,8.0,0
2021-06-07 03:16:24,120K,8.0,0
2021-06-07 03:16:25,120K,9.0,0
2021-06-07 03:16:26,120K,11.0,0
2021-06-07 03:16:27,120K,10.0,0
2021-06-07 03:16:28,120K,8.0,0
2021-06-07 03:16:29,120K,7.0,0
2021-06-07 03:16:30,120K,9.0,0
2021-06-07 03:16:31,120K,9.0,0
2021-06-07 03:16:32,120K,6.0,0
2021-06-07 03:16:34,120K,7.0,0
2021-06-07 03:16:35,120K,8.0,0
2021-06-07 03:16:36,120K,6.0,0
2021-06-07 03:16:37,120K,7.0,0
2021-06-07 03:16:38,120K,9.0,0
2021-06-07 03:16:39,120K,8.0,0
2021-06-07 03:16:40,120K,7.0,0
2021-06-07 03:16:41,120K,8.0,0
2021-06-07 03:16:42,120K,8.0,0
2021-06-07 03:16:43,120K,10.0,0
2021-06-07 03:16:44,120K,10.0,0
2021-06-07 03:16:45,60K,8.0,0
2021-06-07 03:16:46,60K,7.0,0
2021-06-07 03:16:47,60K,6.0,0
2021-06-07 03:16:48,60K,8.0,0
2021-06-07 03:16:49,60K,7.0,0
2021-06-07 03:16:50,60K,5.0,0
2021-06-07 03:16:51,60K,8.0,0
2021-06-07 03:16:52,60K,8.0,0
2021-06-07 03:16:53,60K,6.0,0
2021-06-07 03:16:54,60K,7.0,0
2021-06-07 03:16:55,60K,9.0,0
2021-06-07 03:16:56,60K,8.0,0
2021-06-07 03:16:57,60K,6.0,0
2021-06-07 03:16:58,60K,6.0,0
2021-06-07 03:16:59,60K,6.0,0
2021-06-07 03:17:00,60K,6.0,0
2021-06-07 03:17:01,60K,6.0,0
2021-06-07 03:17:02,60K,6.0,0
2021-06-07 03:17:03,60K,7.0,0
2021-06-07 03:17:04,60K,7.0,0
2021-06-07 03:17:05,60K,7.0,0
2021-06-07 03:17:06,60K,8.0,0
2021-06-07 03:17:07,60K,7.0,0
2021-06-07 03:17:08,60K,8.0,0
2021-06-07 03:17:09,60K,8.0,0
2021-06-07 03:17:10,60K,7.0,0
2021-06-07 03:17:11,60K,7.0,0
2021-06-07 03:17:12,60K,6.0,0
2021-06-07 03:17:13,60K,6.0,0
2021-06-07 03:17:14,60K,6.0,0
2021-06-07 03:17:15,60K,6.0,0
2021-06-07 03:17:16,60K,9.0,0
2021-06-07 03:17:17,60K,10.0,0
2021-06-07 03:17:19,60K,8.0,0
2021-06-07 03:17:20,60K,7.0,0
2021-06-07 03:17:21,60K,9.0,0
2021-06-07 03:17:22,60K,12.0,0
2021-06-07 03:17:23,60K,10.0,0
2021-06-07 03:17:24,60K,8.0,0
2021-06-07 03:17:25,60K,10.0,0
2021-06-07 03:17:26,30K,9.0,0
2021-06-07 03:17:27,30K,10.0,0
2021-06-07 03:17:28,30K,10.0,0
2021-06-07 03:17:29,30K,12.0,0
2021-06-07 03:17:30,30K,13.0,0
2021-06-07 03:17:31,30K,12.0,0
2021-06-07 03:17:32,30K,12.0,0
2021-06-07 03:17:33,30K,14.0,0
2021-06-07 03:17:34,30K,13.0,0
2021-06-07 03:17:35,30K,16.0,0
2021-06-07 03:17:36,30K,16.0,0
2021-06-07 03:17:37,30K,16.0,0
2021-06-07 03:17:38,30K,15.0,0
2021-06-07 03:17:39,30K,15.0,0
2021-06-07 03:17:40,30K,16.0,0
2021-06-07 03:17:41,30K,15.0,0
2021-06-07 03:17:42,30K,14.0,0
2021-06-07 03:17:43,30K,16.0,0
2021-06-07 03:17:44,30K,15.0,0
2021-06-07 03:17:45,30K,13.0,0
2021-06-07 03:17:46,30K,14.0,0
2021-06-07 03:17:47,30K,13.0,0
2021-06-07 03:17:48,30K,14.0,0
2021-06-07 03:17:49,30K,12.0,0
2021-06-07 03:17:50,30K,10.0,0
2021-06-07 03:17:51,30K,11.0,0
2021-06-07 03:17:52,30K,12.0,0
2021-06-07 03:17:53,30K,14.0,0
2021-06-07 03:17:54,30K,13.0,0
2021-06-07 03:17:56,30K,14.0,0
2021-06-07 03:17:57,30K,14.0,0
2021-06-07 03:17:58,30K,16.0,0
2021-06-07 03:17:59,30K,16.0,0
2021-06-07 03:18:00,30K,16.0,0
2021-06-07 03:18:01,30K,0.0,0
2021-06-07 03:18:02,60K,0.0,0
2021-06-07 03:18:03,60K,0.0,0
2021-06-07 03:18:04,60K,0.0,0
2021-06-07 03:18:05,60K,0.0,0
2021-06-07 03:18:06,60K,0.0,0
2021-06-07 03:18:07,60K,0.0,0
2021-06-07 03:18:08,60K,0.0,0
2021-06-07 03:18:09,60K,5.0,0
2021-06-07 03:18:10,60K,11.0,0
2021-06-07 03:18:11,60K,8.0,0
2021-06-07 03:18:12,60K,6.0,0
2021-06-07 03:18:13,60K,8.0,0
2021-06-07 03:18:14,60K,7.0,0
2021-06-07 03:18:15,60K,7.0,0
2021-06-07 03:18:16,60K,8.0,0
2021-06-07 03:18:17,60K,9.0,0
2021-06-07 03:18:18,60K,8.0,0
2021-06-07 03:18:19,60K,7.0,0
2021-06-07 03:18:20,60K,8.0,0
2021-06-07 03:18:21,60K,9.0,0
2021-06-07 03:18:22,60K,9.0,0
2021-06-07 03:18:23,60K,10.0,0
2021-06-07 03:18:24,60K,7.0,0
2021-06-07 03:18:25,60K,6.0,0
2021-06-07 03:18:26,60K,6.0,0
2021-06-07 03:18:27,60K,9.0,0
2021-06-07 03:18:28,60K,10.0,0
2021-06-07 03:18:30,60K,11.0,0
2021-06-07 03:18:31,60K,10.0,0
2021-06-07 03:18:32,60K,12.0,0
2021-06-07 03:18:33,60K,14.0,0
2021-06-07 03:18:34,60K,9.0,0
2021-06-07 03:18:35,60K,6.0,0
2021-06-07 03:18:36,60K,9.0,0
2021-06-07 03:18:37,60K,10.0,0
2021-06-07 03:18:38,60K,8.0,0
2021-06-07 03:18:39,60K,9.0,0
2021-06-07 03:18:40,60K,10.0,0
2021-06-07 03:18:41,60K,8.0,0
2021-06-07 03:18:42,30K,7.0,0
2021-06-07 03:18:43,30K,7.0,0
2021-06-07 03:18:44,30K,8.0,0
2021-06-07 03:18:45,30K,9.0,0
2021-06-07 03:18:46,30K,9.0,0
2021-06-07 03:18:47,30K,6.0,0
2021-06-07 03:18:48,30K,5.0,0
2021-06-07 03:18:49,30K,9.0,0
2021-06-07 03:18:50,30K,8.0,0
2021-06-07 03:18:51,30K,8.0,0
2021-06-07 03:18:52,30K,8.0,0
2021-06-07 03:18:53,30K,9.0,0
2021-06-07 03:18:54,30K,10.0,0
2021-06-07 03:18:55,30K,9.0,0
2021-06-07 03:18:56,30K,9.0,0
2021-06-07 03:18:57,30K,9.0,0
2021-06-07 03:18:58,30K,12.0,0
2021-06-07 03:18:59,30K,12.0,0
2021-06-07 03:19:00,30K,11.0,0
2021-06-07 03:19:01,30K,14.0,0
2021-06-07 03:19:02,30K,13.0,0
2021-06-07 03:19:03,30K,15.0,0
2021-06-07 03:19:04,30K,14.0,0
2021-06-07 03:19:05,30K,14.0,0
2021-06-07 03:19:06,30K,17.0,0
2021-06-07 03:19:07,30K,15.0,0
2021-06-07 03:19:08,30K,14.0,0
2021-06-07 03:19:09,30K,14.0,0
2021-06-07 03:19:11,30K,14.0,0
2021-06-07 03:19:12,30K,15.0,0
2021-06-07 03:19:13,30K,15.0,0
2021-06-07 03:19:14,30K,16.0,0
2021-06-07 03:19:15,30K,16.0,0
2021-06-07 03:19:16,30K,16.0,0
2021-06-07 03:19:17,30K,17.0,0
2021-06-07 03:19:18,30K,17.0,0
2021-06-07 03:19:19,30K,15.0,0
2021-06-07 03:19:20,30K,18.0,0
2021-06-07 03:19:21,30K,20.0,0
2021-06-07 03:19:22,30K,20.0,0
2021-06-07 03:19:23,30K,20.0,0
2021-06-07 03:19:24,30K,18.0,0
2021-06-07 03:19:25,30K,20.0,0
2021-06-07 03:19:26,30K,20.0,0
2021-06-07 03:19:27,30K,19.0,0
2021-06-07 03:19:28,30K,17.0,0
2021-06-07 03:19:29,30K,18.0,0
2021-06-07 03:19:30,30K,19.0,0
2021-06-07 03:19:31,30K,19.0,0
2021-06-07 03:19:32,30K,20.0,0
2021-06-07 03:19:33,30K,21.0,0
2021-06-07 03:19:34,30K,21.0,0
2021-06-07 03:19:35,30K,22.0,0
2021-06-07 03:19:36,30K,20.0,0
2021-06-07 03:19:37,30K,21.0,0
2021-06-07 03:19:38,30K,22.0,0
2021-06-07 03:19:39,30K,24.0,0
2021-06-07 03:19:40,30K,25.0,0
2021-06-07 03:19:41,30K,25.0,0
2021-06-07 03:19:42,30K,26.0,0
2021-06-07 03:19:43,30K,25.0,0
2021-06-07 03:19:44,30K,27.0,0
2021-06-07 03:19:45,30K,27.0,0
2021-06-07 03:19:46,30K,26.0,0
2021-06-07 03:19:47,30K,26.0,0
2021-06-07 03:19:48,30K,23.0,0
2021-06-07 03:19:49,30K,24.0,0
2021-06-07 03:19:50,30K,25.0,0
2021-06-07 03:19:51,30K,27.0,0
2021-06-07 03:19:52,30K,26.0,0
2021-06-07 03:19:53,30K,25.0,0
2021-06-07 03:19:54,30K,24.0,0
2021-06-07 03:19:55,30K,27.0,0
2021-06-07 03:19:56,30K,27.0,0
2021-06-07 03:19:57,30K,28.0,0
2021-06-07 03:19:58,30K,28.0,0
2021-06-07 03:19:59,30K,28.0,0
2021-06-07 03:20:00,30K,29.0,0
2021-06-07 03:20:01,30K,30.0,0
2021-06-07 03:20:02,30K,30.0,0
2021-06-07 03:20:03,30K,28.0,0
2021-06-07 03:20:04,30K,28.0,0
2021-06-07 03:20:06,30K,27.0,0
2021-06-07 03:20:07,30K,29.0,0
2021-06-07 03:20:08,30K,28.0,0
2021-06-07 03:20:09,30K,28.0,0
2021-06-07 03:20:10,30K,28.0,0
2021-06-07 03:20:11,30K,28.0,0
2021-06-07 03:20:12,30K,29.0,0
2021-06-07 03:20:13,30K,27.0,0
2021-06-07 03:20:14,30K,28.0,0
2021-06-07 03:20:15,30K,26.0,0
2021-06-07 03:20:16,30K,27.0,0
2021-06-07 03:20:17,30K,27.0,0
2021-06-07 03:20:18,30K,28.0,0
2021-06-07 03:20:19,30K,30.0,0
2021-06-07 03:20:20,30K,28.0,0
2021-06-07 03:20:21,30K,29.0,0
2021-06-07 03:20:22,30K,27.0,0
2021-06-07 03:20:23,30K,29.0,0
2021-06-07 03:20:24,30K,28.0,0
2021-06-07 03:20:25,30K,28.0,0
2021-06-07 03:20:26,30K,26.0,0
2021-06-07 03:20:27,30K,28.0,0
2021-06-07 03:20:28,30K,27.0,0
2021-06-07 03:20:29,30K,30.0,0
2021-06-07 03:20:30,30K,31.0,0
2021-06-07 03:20:31,30K,29.0,0
2021-06-07 03:20:32,30K,31.0,0
2021-06-07 03:20:33,30K,30.0,0
2021-06-07 03:20:34,30K,32.0,0
2021-06-07 03:20:35,30K,32.0,0
2021-06-07 03:20:36,30K,30.0,0
2021-06-07 03:20:38,30K,32.0,0
2021-06-07 03:20:39,30K,32.0,0
2021-06-07 03:20:40,30K,31.0,0
2021-06-07 03:20:42,30K,30.0,0
2021-06-07 03:20:43,30K,31.0,0
2021-06-07 03:20:44,30K,30.0,0
2021-06-07 03:20:45,30K,30.0,0
2021-06-07 03:20:46,30K,32.0,0
2021-06-07 03:20:47,30K,31.0,0
2021-06-07 03:20:48,30K,30.0,0
2021-06-07 03:20:49,30K,29.0,0
2021-06-07 03:20:50,30K,33.0,0
2021-06-07 03:20:51,30K,33.0,0
2021-06-07 03:20:52,30K,34.0,0
2021-06-07 03:20:53,30K,34.0,0
2021-06-07 03:20:54,30K,34.0,0
2021-06-07 03:20:55,30K,33.0,0
2021-06-07 03:20:56,30K,32.0,0
2021-06-07 03:20:58,30K,32.0,0
2021-06-07 03:20:59,30K,34.0,0
2021-06-07 03:21:00,30K,32.0,0
2021-06-07 03:21:01,30K,31.0,0
2021-06-07 03:21:02,30K,30.0,0
2021-06-07 03:21:03,30K,32.0,0
2021-06-07 03:21:04,30K,31.0,0
2021-06-07 03:21:05,30K,31.0,0
2021-06-07 03:21:06,30K,31.0,0
2021-06-07 03:21:07,30K,32.0,0
2021-06-07 03:21:08,30K,30.0,0
2021-06-07 03:21:09,30K,31.0,0
2021-06-07 03:21:10,30K,28.0,0
2021-06-07 03:21:11,30K,32.0,0
2021-06-07 03:21:12,30K,30.0,0
2021-06-07 03:21:13,30K,31.0,0
2021-06-07 03:21:14,30K,29.0,0
2021-06-07 03:21:15,30K,30.0,0
2021-06-07 03:21:16,30K,30.0,0
2021-06-07 03:21:17,30K,28.0,0
2021-06-07 03:21:18,30K,30.0,0
2021-06-07 03:21:19,30K,32.0,0
2021-06-07 03:21:20,30K,34.0,0
2021-06-07 03:21:21,30K,33.0,0
2021-06-07 03:21:22,30K,34.0,0
2021-06-07 03:21:23,30K,33.0,0
2021-06-07 03:21:24,30K,32.0,0
2021-06-07 03:21:25,30K,35.0,0
2021-06-07 03:21:26,30K,35.0,0
2021-06-07 03:21:27,30K,39.0,0
2021-06-07 03:21:28,30K,41.0,0
2021-06-07 03:21:29,30K,40.0,0
2021-06-07 03:21:30,30K,40.0,0
2021-06-07 03:21:31,30K,40.0,0
2021-06-07 03:21:32,30K,41.0,0
2021-06-07 03:21:33,30K,40.0,0
2021-06-07 03:21:34,30K,41.0,0
2021-06-07 03:21:36,30K,41.0,0
2021-06-07 03:21:37,30K,41.0,0
2021-06-07 03:21:38,30K,42.0,0
